
Data preprocessing...
TESTING FOR MUTLIPLE PARAMETERS:




====================================================================================================
Training model: bert-base-multilingual-cased
 * 30 epochs
 * learning rate is 2e-05
 * train language: de
 * test language: en
 * dropout: 0.3
 * batch size is 16
 * frozen weights: True
 * activation: GELU
 * device is on cuda
 * warmup steps: 50
____________________________________________________________________________________________________

Epoch 1/30, accuracy: 0.1363, loss: 1.7846
 * Micro Average: f1: 0.0000, precision: 0.0000, recall: 0.0000
 * Macro Average: f1: 0.0000, precision: 0.0000, recall: 0.0000

Epoch 2/30, accuracy: 0.2470, loss: 1.2625
 * Micro Average: f1: 0.0000, precision: 0.0000, recall: 0.0000
 * Macro Average: f1: 0.0000, precision: 0.0000, recall: 0.0000

Epoch 3/30, accuracy: 0.3287, loss: 1.1100
 * Micro Average: f1: 0.0000, precision: 0.0000, recall: 0.0000
 * Macro Average: f1: 0.0000, precision: 0.0000, recall: 0.0000

Epoch 4/30, accuracy: 0.3652, loss: 1.0050
 * Micro Average: f1: 0.0010, precision: 0.0009, recall: 0.0011
 * Macro Average: f1: 0.0011, precision: 0.0035, recall: 0.0007

Epoch 5/30, accuracy: 0.4076, loss: 0.9284
 * Micro Average: f1: 0.0047, precision: 0.0040, recall: 0.0057
 * Macro Average: f1: 0.0043, precision: 0.0125, recall: 0.0035

Epoch 6/30, accuracy: 0.4505, loss: 0.8672
 * Micro Average: f1: 0.0159, precision: 0.0129, recall: 0.0208
 * Macro Average: f1: 0.0127, precision: 0.0155, recall: 0.0128

Epoch 7/30, accuracy: 0.4910, loss: 0.8259
 * Micro Average: f1: 0.0333, precision: 0.0260, recall: 0.0461
 * Macro Average: f1: 0.0253, precision: 0.0276, recall: 0.0283

Epoch 8/30, accuracy: 0.5231, loss: 0.7823
 * Micro Average: f1: 0.0485, precision: 0.0373, recall: 0.0693
 * Macro Average: f1: 0.0367, precision: 0.0389, recall: 0.0424

Epoch 9/30, accuracy: 0.5503, loss: 0.7556
 * Micro Average: f1: 0.0690, precision: 0.0525, recall: 0.1005
 * Macro Average: f1: 0.0526, precision: 0.0546, recall: 0.0613

Epoch 10/30, accuracy: 0.5672, loss: 0.7251
 * Micro Average: f1: 0.0851, precision: 0.0642, recall: 0.1260
 * Macro Average: f1: 0.0653, precision: 0.0654, recall: 0.0767

Epoch 11/30, accuracy: 0.5868, loss: 0.7057
 * Micro Average: f1: 0.1043, precision: 0.0785, recall: 0.1554
 * Macro Average: f1: 0.0794, precision: 0.0761, recall: 0.0944

Epoch 12/30, accuracy: 0.6026, loss: 0.6909
 * Micro Average: f1: 0.1223, precision: 0.0923, recall: 0.1811
 * Macro Average: f1: 0.0917, precision: 0.0858, recall: 0.1099

Epoch 13/30, accuracy: 0.6111, loss: 0.6741
 * Micro Average: f1: 0.1333, precision: 0.1007, recall: 0.1970
 * Macro Average: f1: 0.0991, precision: 0.0912, recall: 0.1195

Epoch 14/30, accuracy: 0.6201, loss: 0.6619
 * Micro Average: f1: 0.1443, precision: 0.1092, recall: 0.2127
 * Macro Average: f1: 0.1057, precision: 0.0957, recall: 0.1290

Epoch 15/30, accuracy: 0.6288, loss: 0.6506
 * Micro Average: f1: 0.1567, precision: 0.1189, recall: 0.2298
 * Macro Average: f1: 0.1138, precision: 0.1017, recall: 0.1393

Epoch 16/30, accuracy: 0.6360, loss: 0.6441
 * Micro Average: f1: 0.1664, precision: 0.1265, recall: 0.2431
 * Macro Average: f1: 0.1195, precision: 0.1056, recall: 0.1473

Epoch 17/30, accuracy: 0.6410, loss: 0.6387
 * Micro Average: f1: 0.1730, precision: 0.1315, recall: 0.2528
 * Macro Average: f1: 0.1234, precision: 0.1082, recall: 0.1531

Epoch 18/30, accuracy: 0.6461, loss: 0.6276
 * Micro Average: f1: 0.1796, precision: 0.1366, recall: 0.2623
 * Macro Average: f1: 0.1276, precision: 0.1113, recall: 0.1588

Epoch 19/30, accuracy: 0.6498, loss: 0.6249
