The	O
2011	B-ORG
NCAA	I-ORG
Division	I-ORG
I	I-ORG
Men	I-ORG
's	I-ORG
Ice	I-ORG
Hockey	I-ORG
Tournament	I-ORG
featured	O
the	O
Air	B-ORG
Force	I-ORG
Falcons	I-ORG
,	O
Minnesota-Duluth	B-ORG
Bulldogs	I-ORG
,	O
Union	B-ORG
Dutchmen	I-ORG
and	O
Yale	B-ORG
Bulldogs	I-ORG
.	O
	
West	B-LOC
Windsor-Plainsboro	I-LOC
Regional	I-LOC
School	I-LOC
District	I-LOC
	
Martin	B-PER
,	I-PER
Ralph	I-PER
G	I-PER
.	I-PER
.	O
	
Anne	B-PER
Jones	I-PER
(	I-PER
writer	I-PER
)	I-PER
	
``	O
In	B-ORG
For	I-ORG
a	I-ORG
Penny	I-ORG
''	O
	
Campeonato	B-ORG
Mineiro	I-ORG
:	O
2012	B-LOC
,	O
2013	B-LOC
	
Communes	B-LOC
of	I-LOC
the	I-LOC
Haute-Garonne	I-LOC
department	I-LOC
	
Maurice	B-PER
(	I-PER
emperor	I-PER
)	I-PER
	
''	O
Ulidia	B-LOC
megacephala	I-LOC
''	O
Loew	B-PER
,	O
1845	O
	
Theatres	B-ORG
des	I-ORG
Vampires	I-ORG
	
Some	O
visitors	O
came	O
as	O
far	O
away	O
as	O
Port	B-LOC
Arthur	I-LOC
,	I-LOC
Texas	I-LOC
and	O
Louisiana	B-LOC
.	O
	
Get	B-ORG
off	I-ORG
the	I-ORG
Stage	I-ORG
	
Johor	B-ORG
Bahru	I-ORG
City	I-ORG
Square	I-ORG
	
James	B-PER
MacLellan	I-PER
Brown	I-PER
	
House	B-PER
of	I-PER
Glücksburg	I-PER
	
'	O
''	O
Lindley	B-PER
Beckworth	I-PER
(	O
D	O
)	O
Unopposed	O
''	O
'	O
	
Arnold	B-PER
Allan	I-PER
Cecil	I-PER
Keppel	I-PER
,	I-PER
8th	I-PER
Earl	I-PER
of	I-PER
Albemarle	I-PER
(	O
1858–1942	O
)	O
	
Happy]]	O
''	O
–	O
Pharrell	B-PER
Williams	I-PER
	
His	O
son	O
Murad	B-PER
II	I-PER
Bey	I-PER
made	O
this	O
his	O
primary	O
residence	O
,	O
dwelling	O
there	O
almost	O
permanently	O
.	O
	
*Director	O
,	O
the	O
Black	B-ORG
Dog	I-ORG
Institute	I-ORG
	
On	O
July	O
27	O
,	O
1995	O
he	O
was	O
traded	O
(	O
with	O
McKay	B-PER
Christensen	I-PER
,	O
Andrew	B-PER
Lorraine	I-PER
and	O
John	B-PER
Snyder	I-PER
)	O
to	O
the	O
Chicago	B-ORG
White	I-ORG
Sox	I-ORG
for	O
Jim	B-PER
Abbott	I-PER
and	O
Tim	B-PER
Fortugno	I-PER
.	O
	
Melittiphis	B-LOC
''	O
Berlese	O
,	O
1918	O
	
Director	O
:	O
Takuya	B-PER
Igarashi	I-PER
	
Inducted	O
to	O
the	O
Ontario	B-LOC
Sports	I-LOC
Hall	I-LOC
of	I-LOC
Fame	I-LOC
in	O
2001	O
.	O
	
'	O
''	O
With	O
the	O
Art	B-PER
Farmer	I-PER
/	O
Benny	B-PER
Golson	I-PER
Jazztet	B-ORG
''	O
'	O
	
Matfield	B-LOC
Green	I-LOC
,	I-LOC
Kansas	I-LOC
	
Frans	B-PER
Banninck	I-PER
Cocq	I-PER
	
Alla	B-PER
Beknazarova	I-PER
/	O
Vladimir	B-PER
Zuev	I-PER
	
He	O
was	O
in	O
private	O
practice	O
in	O
