Izak	B-PER
van	I-PER
der	I-PER
Merwe	I-PER
''	O
(	O
primo	O
turno	O
)	O
	
Da	O
quel	O
momento	O
,	O
la	O
guarnigione	O
prigioniera	O
divenne	O
il	O
bene	O
sicuramente	O
più	O
prezioso	O
del	O
quale	O
disponessero	O
gli	O
abitanti	O
di	O
Gand	B-LOC
.	O
	
'	O
''	O
Jan	B-PER
Hájek	I-PER
''	O
'	O
	
Alla	O
sua	O
introduzione	O
(	O
descritta	O
in	O
Star	B-ORG
Trek	I-ORG
:	I-ORG
Enterprise	I-ORG
''	O
)	O
,	O
questa	O
tecnologia	O
è	O
vista	O
con	O
sospetto	O
dagli	O
equipaggi	O
delle	O
prime	O
navi	O
terrestri	O
,	O
in	O
quanto	O
l'idea	O
di	O
essere	O
disgregati	O
completamente	O
e	O
poi	O
riassemblati	O
non	O
è	O
piacevole	O
,	O
ma	O
presto	O
questo	O
problema	O
psicologico	O
viene	O
superato	O
.	O
	
A	O
partire	O
da	O
5	B-ORG
cm	I-ORG
per	I-ORG
second	I-ORG
''	O
,	O
comunque	O
,	O
si	O
avvale	O
dell'aiuto	O
di	O
un	O
pur	O
minimo	O
staff	O
,	O
mantenendo	O
comunque	O
il	O
controllo	O
totale	O
sia	O
del	O
lato	O
artistico	O
sia	O
tecnico	O
dell'opera	O
che	O
sta	O
realizzando	O
.	O
	
Non	O
gioca	O
la	O
partita	O
dei	O
Quarti	O
di	O
finale	O
contro	O
Italia	B-ORG
(	O
1-1	O
)	O
.	O
	
Alla	O
fine	O
della	O
stagione	O
seguente	O
è	O
stato	O
licenziato	O
dai	O
portoghesi	B-LOC
per	O
gli	O
scarsi	O
risultati	O
ottenuti	O
.	O
	
'	O
''	O
Italia	B-ORG
''	O
'	O
	
Patrick	B-ORG
Rafter	I-ORG
Jim	B-PER
Courier	I-PER
Todd	B-PER
Martin	I-PER
Fabrice	B-PER
Santoro	I-PER
	
Situato	O
dentro	O
il	O
Six	B-ORG
Flags	I-ORG
Great	I-ORG
America	I-ORG
.	O
	
Gli	O
intervenuti	O
alla	O
manifestazione	O
annuale	O
hanno	O
incluso	O
gli	O
autori	O
Bill	B-PER
Bryson	I-PER
,	O
Helen	B-PER
Fielding	I-PER
,	O
Antonia	B-PER
Fraser	I-PER
e	O
Boris	B-PER
